category,type,difficulty,question,correct_answer,incorrect_answers
Sports,multiple,medium,Which team won the First BGIS?,Skylights Gaming(SG),"GODL , SOUL , TSM"
Sports,multiple,medium,Which team went to Dubai from India in PMGC 2021?,GODL,"SG, Team XO, TSM"
Sports,multiple,medium,Which team won the PMGC 2021?,NOVA,"NGX , STE, GODL"
Sports,multiple,medium,Which player became the MVP in BGIS?,Neyoo,"Saumraj,Jonathon,Scout"
Sports,multiple,medium,Which of the following player was taken to Dubai as a loan?,Saumraj,"Scout,Snax,Mortal"
Sports,multiple,medium,Who was the Device SPONSOR IN BGIS?,IQOO7,"Samsung,Iphone13,Oneplus"
Sports,multiple,medium,Who was the MVP in the PMGC 2021?,NV Order,"Paraboy,Jonathon,Zuxxy"
Sports,multiple,medium,What was the prizepool of the PMGC 2021?,3.5 million $,"2.5 million $,1 million $,5 million $"
Sports,multiple,medium,What was the prizepool of the BGIS 2021?,1 cr,"2cr,3cr,4cr"
Sports,multiple,medium,Which team won the PMCO 2020?,Team Xspark,"OR Esports,Soul,TSM"
Sports,multiple,medium,Which team came #2 in PMWL 2020?,OR Esports,"TSM,GODL,Team Xspark"
Sports,multiple,medium,Which scope cannot be set in DP28?,8x,"2x,4x,6x"
Sports,multiple,medium,On how many maps BGIS was played?,3,"2,4,5"
Sports,multiple,medium,How many bridges connect the two Islands in Erangel?,2,"1,3,4"
Sports,multiple,medium,How many Islands are there in Sanhok?,3,"2,4,5"
Sports,multiple,medium, Which is the largest map in BGMI?,Miramar,"Erangel,Vikendi,Karakin"
Sports,multiple,medium,How many teams were invited in BGIS 2021?,32,"256,48,16"
Sports,multiple,medium,How many bullets Dp28 have upto?,47,"45,40,52"
Sports,multiple,medium,Punkk is associated with which team?,Team XO,"GodL,TSM,Revenant"
Sports,multiple,medium,Who won the SkySports Championship in 2021?,GODL,"7Seas,Soul,8bit"
Sports,multiple,medium,Which team took the triple chicken consecutively in an offical event in India?,Team IND,"GODL,TSM,OR Esports"
Sports,multiple,medium,Who is the manager of Soul?,8Bit Thug,"Scout,Mavi,Mercy"
Sports,multiple,medium,Which team won the PMAS 2019?,Fanatic,"OR Esports,Soul,TSM"
Sports,multiple,medium,Who was the top fragger in PMAS 2019?,Jonathon,"Gill,Clutchgod,Punkk"
Sports,multiple,medium,Which Team won the PMCO in 2019?,Bigetron(BTR),"RRQ Athena,NovaXQF,Nigma Galaxy"
Sports,multiple,medium,What is the Full form of PMCO?,PUBG Mobile Club Open,"Pubg Mobile Click Org, Pubg Mobile Challenge Open,PUBG Mobile Carbine Open"
Sports,multiple,medium,Which gun has highest recoil in PUBG?,MK14,"AKM,M249,SLR"
Sports,multiple,medium,How many zones are in Pubg mobile?,8,"9,10,7"
Sports,multiple,medium,Which city is called the heart of Erangel?,Pochinki,"Georgo,Novorepnoye,Yasnaya Polyana"
Sports,multiple,medium,Which is he highest Tier in Pubg?,Conqueror,"Master,God ,Ace"
Sports,multiple,medium,Which position did Soul finish in PMCO 2019?,11th,"12th,13th,5th"
Sports,multiple,medium,Which of the following gun does not come with drop?,M249,"AWM,GROZA,AUG"
Sports,multiple,medium,Which gun has highest damage in assault rifles in Pubg?,AKM,"M762,SCAR-L,UZI"
Sports,multiple,medium,How much health does a First Aid Recovers?,75hp,"70hp,100hp,80hp"
Sports,multiple,medium,Maximum how many players can play in a Team in BGMI?,Four,"Two,Three,Five"
Sports,multiple,medium,Which one of the vehicle is not found in PUBG?,Porsche,"Tukshai,Mirado,Dacia"
Sports,multiple,medium,Which team has Scout not played?,8Bit ,"IND,Fanatic,Soul"
Sports,multiple,medium,Who has casted the launch party of BGMI?,Ocean Sharma,"Mayavi,Ketan K18,Mazys"
Sports,multiple,medium,When did BGMI launch in INDIA?,2-Jul-21,"3-Jul-21,4-Jul-21,5-Jul-21"
Sports,multiple,medium,How much ammo vector can have maximum?,33,"30,25,35"
Sports,multiple,medium,Which of the following gamers was not seen in BGMI trailer?,Mortal,"Dynamo,Kronten,Jonathon"
Sports,multiple,medium,What is the term used for a 4v4 match in the game?,Team Deathmatch,"Squad Death,Mini Map,None of the Above"
Sports,multiple,medium,What kind of ammunition is required in DBS gun?,12 gauge,"9mm,7.62mm,.300magnum"
Sports,multiple,medium,On which map you can drive the Tukshai vehicle?,Sanhok,"Erangel,Vikendi,Karakin"
Sports,multiple,medium,Which vehicle comes if we fire flare gun outside the playzone?,BRDM,"UAZ,Motorbike,Dacia"
Sports,multiple,medium,Why is Mortal Famous for?,Heal Battle,"Patt se Headshot,Aggressive Gameplay,Sprays"
Sports,multiple,medium,Which team Aquanox play from?,TSM,"XO,Insane,Reckoning"
Sports,multiple,medium,How much time does a frag grenade takes to cook?,5 seconds,"6 seconds,7 seconds,4 seconds"
Sports,multiple,medium,How much time does a stun grenade last?,2.5 seconds,"3 seconds, 4 seconds, 5 seconds"
Sports,multiple,medium,How many types of weapon are their in Pubg?,9,"8,10,11"
Sports,multiple,medium,Which ammo does MK47 Mutant use?,7.62mm,"9mm,7.62mm,.300magnum"
Sports,multiple,medium,Which ammo does MK47 Mutant use?,7.62mm,"9mm,7.62mm,.300magnum"
